timestep,ep_rew_mean,ep_len_mean,correctness_rate,alignment_mean,episode_seconds_mean,episodes,truncation_rate,context_size_mean,examples_seen,dataset_pass,kl_step_mean
10164,0.021643,152.3,1.0000,nan,20.301,2,0.0000,396.5,0,0,0.00000
15372,-0.416224,141.6,0.0000,nan,20.276,1,0.0000,392.0,0,0,0.00000
22988,0.017902,117.3,0.0000,nan,36.984,1,0.0000,478.0,0,0,0.00000
28028,0.179249,115.2,0.0000,nan,17.635,1,0.0000,384.0,0,0,0.00000
33432,0.074755,94.5,0.0000,nan,20.392,1,0.0000,396.0,0,0,0.00000
48468,-0.956110,193.0,0.0000,nan,58.942,1,1.0000,569.0,0,0,0.00000
53536,-0.230638,168.9,1.0000,nan,21.063,1,0.0000,397.0,0,0,0.00000
58800,0.514105,93.1,1.0000,nan,20.323,1,0.0000,393.0,0,0,0.00000
64148,-0.045154,95.1,0.0000,nan,19.420,1,0.0000,396.0,0,0,0.00000
74816,-0.293112,148.8,1.0000,nan,22.695,1,0.0000,407.0,0,0,0.00000
79940,0.146638,145.2,1.0000,nan,20.889,1,0.0000,396.0,0,0,0.00000
85568,0.515063,97.0,1.0000,nan,23.331,1,0.0000,406.0,0,0,0.00000
91252,0.634576,101.6,1.0000,nan,23.551,1,0.0000,404.0,0,0,0.00000
96768,0.515191,100.0,0.0000,nan,22.938,1,0.0000,404.0,0,0,0.00000
101948,0.515639,95.7,1.0000,nan,20.236,1,0.0000,392.0,0,0,0.00000
117516,-0.495481,196.6,0.0000,nan,62.203,1,1.0000,581.0,0,0,0.00000
123200,-0.778756,179.4,0.0000,nan,17.044,1,0.0000,395.0,0,0,0.00000
128520,0.354423,98.8,1.0000,nan,17.657,1,0.0000,395.0,0,0,0.00000
135408,0.474435,110.8,0.0000,nan,18.271,1,0.0000,402.0,0,0,0.00000
145880,-0.139935,156.8,0.5000,nan,20.058,2,0.0000,400.5,0,0,0.00000
151508,-0.009933,150.6,1.0000,nan,20.380,1,0.0000,405.0,0,0,0.00000
161784,-0.410833,146.0,0.0000,nan,53.190,1,1.0000,575.0,0,0,0.00000
173936,-0.262406,192.5,1.0000,nan,54.971,1,1.0000,582.0,0,0,0.00000
184212,-0.349809,176.3,0.0000,nan,50.768,1,1.0000,573.0,0,0,0.00000
190624,-0.138593,156.6,0.0000,nan,18.840,1,0.0000,404.0,0,0,0.00000
200788,0.145645,148.7,0.0000,nan,50.669,1,1.0000,573.0,0,0,0.00000
210980,-0.553170,193.4,1.0000,nan,17.373,1,0.0000,393.0,0,0,0.00000
216020,-0.190914,141.3,1.0000,nan,18.052,1,0.0000,398.0,0,0,0.00000
226492,-0.013134,145.2,1.0000,nan,18.847,1,0.0000,400.0,0,0,0.00000
238756,-0.813187,191.8,0.0000,nan,54.313,1,1.0000,584.0,0,0,0.00000
248808,-0.128418,142.7,0.6667,nan,17.557,3,0.0000,391.7,0,0,0.00000
254492,-0.409127,148.9,0.0000,nan,19.796,1,0.0000,398.0,0,0,0.00000
259896,0.076165,99.2,1.0000,nan,19.025,1,0.0000,395.0,0,0,0.00000
270284,-0.018398,144.4,1.0000,nan,18.020,2,0.0000,394.0,0,0,0.00000
280924,-0.225637,178.1,0.0000,nan,51.270,1,1.0000,576.0,0,0,0.00000
286496,-0.131928,148.7,0.0000,nan,21.487,1,0.0000,406.0,0,0,0.00000
291536,0.514158,94.8,1.0000,nan,17.500,1,0.0000,390.0,0,0,0.00000
302232,-0.411007,149.0,0.0000,nan,18.783,2,0.0000,401.0,0,0,0.00000
312956,-0.216900,178.4,1.0000,nan,20.081,2,0.0000,403.0,0,0,0.00000
317828,-0.410980,140.2,0.0000,nan,19.356,1,0.0000,397.0,0,0,0.00000
323512,0.073430,96.2,1.0000,nan,21.051,1,0.0000,401.0,0,0,0.00000
334236,-0.581718,156.8,0.0000,nan,21.713,2,0.0000,412.0,0,0,0.00000
344540,-0.942537,200.0,0.0000,nan,57.421,1,1.0000,576.0,0,0,0.00000
349888,-0.009298,145.4,1.0000,nan,20.399,1,0.0000,396.0,0,0,0.00000
360948,-0.410901,153.1,0.0000,nan,59.290,1,1.0000,593.0,0,0,0.00000
366828,-0.009225,156.1,1.0000,nan,21.888,1,0.0000,403.0,0,0,0.00000
371700,0.526819,95.3,1.0000,nan,20.556,1,0.0000,405.0,0,0,0.00000
381780,-0.003236,141.1,0.0000,nan,18.764,1,0.0000,395.0,0,0,0.00000
